====================
density: 0.3
nodes: 20
Node have file: 2
=====================
ExperimentServent(0xa3e838): result: 1, tx: 3, rx: 15
ExperimentServent(0xa41dbe): result: 1, tx: 19, rx: 18
ExperimentServent(0xa41db4): result: 1, tx: 23, rx: 17
ExperimentServent(0xa3e820): result: 1, tx: 6, rx: 4
ExperimentServent(0xa3e806): result: 1, tx: 20, rx: 14
ExperimentServent(0xa41daa): result: 1, tx: 3, rx: 6
=====================
ExperimentServent(0x915758): result: 1, tx: 35, rx: 25
ExperimentServent(0x918c60): result: 1, tx: 39, rx: 32
ExperimentServent(0x915720): result: 1, tx: 21, rx: 12
ExperimentServent(0x915738): result: 1, tx: 12, rx: 16
ExperimentServent(0x918c70): result: 1, tx: 23, rx: 22
ExperimentServent(0x915718): result: 1, tx: 4, rx: 15
ExperimentServent(0x918c58): result: 1, tx: 11, rx: 16
ExperimentServent(0x915706): result: 1, tx: 20, rx: 20
ExperimentServent(0x91571e): result: 1, tx: 25, rx: 14
ExperimentServent(0x918c68): result: 1, tx: 11, rx: 11
ExperimentServent(0x9157e8): result: 1, tx: 16, rx: 15
ExperimentServent(0x918c96): result: 1, tx: 25, rx: 19
ExperimentServent(0x918c78): result: 1, tx: 17, rx: 39
ExperimentServent(0x918cb4): result: 1, tx: 35, rx: 30
ExperimentServent(0x918c8c): result: 1, tx: 15, rx: 11
ExperimentServent(0x918caa): result: 1, tx: 35, rx: 33
ExperimentServent(0x918af4): result: 1, tx: 4, rx: 18
ExperimentServent(0x918cbe): result: 1, tx: 25, rx: 17
ExperimentServent(0x918c82): result: 1, tx: 19, rx: 20
ExperimentServent(0x918ca0): result: 1, tx: 13, rx: 20
=====================
ExperimentServent(0x9e89f4): result: 1, tx: 17, rx: 11
ExperimentServent(0x9e5638): result: 1, tx: 13, rx: 11
ExperimentServent(0x9e8b68): result: 1, tx: 8, rx: 9
ExperimentServent(0x9e561e): result: 1, tx: 13, rx: 9
ExperimentServent(0x9e5618): result: 1, tx: 12, rx: 10
ExperimentServent(0x9e5606): result: 1, tx: 18, rx: 18
ExperimentServent(0x9e5620): result: 1, tx: 13, rx: 7
ExperimentServent(0x9e8b58): result: 1, tx: 22, rx: 18
ExperimentServent(0x9e56e8): result: 1, tx: 17, rx: 14
ExperimentServent(0x9e5658): result: 1, tx: 21, rx: 16
ExperimentServent(0x9e8b60): result: 1, tx: 13, rx: 28
ExperimentServent(0x9e8b70): result: 1, tx: 16, rx: 14
ExperimentServent(0x9e8b82): result: 1, tx: 11, rx: 8
ExperimentServent(0x9e8b8c): result: 1, tx: 3, rx: 7
ExperimentServent(0x9e8b96): result: 1, tx: 15, rx: 14
ExperimentServent(0x9e8bb4): result: 1, tx: 3, rx: 11
ExperimentServent(0x9e8b78): result: 1, tx: 8, rx: 7
ExperimentServent(0x9e8baa): result: 1, tx: 9, rx: 8
ExperimentServent(0x9e8ba0): result: 1, tx: 7, rx: 12
ExperimentServent(0x9e8bbe): result: 1, tx: 5, rx: 12
=====================
ExperimentServent(0x94f7b4): send_query_to_network()
ExperimentServent(0x94f7aa): send_query_to_network()
ExperimentServent(0x94f768): send_query_to_network()
ExperimentServent(0x94f7be): send_query_to_network()
ExperimentServent(0x94f770): send_query_to_network()
ExperimentServent(0x94c238): send_query_to_network()
ExperimentServent(0x94f760): result: 1, tx: 23, rx: 23
ExperimentServent(0x94c218): result: 1, tx: 64, rx: 49
ExperimentServent(0x94c258): result: 1, tx: 5, rx: 23
ExperimentServent(0x94f796): result: 1, tx: 31, rx: 45
ExperimentServent(0x94c21e): result: 1, tx: 23, rx: 22
ExperimentServent(0x94c2e8): result: 1, tx: 27, rx: 22
ExperimentServent(0x94f7be): result: 1, tx: 42, rx: 34
ExperimentServent(0x94f778): result: 1, tx: 17, rx: 16
ExperimentServent(0x94c220): result: 1, tx: 11, rx: 12
ExperimentServent(0x94f770): result: 1, tx: 46, rx: 33
ExperimentServent(0x94f7a0): result: 1, tx: 20, rx: 18
ExperimentServent(0x94f5f4): result: 1, tx: 11, rx: 10
ExperimentServent(0x94c238): result: 1, tx: 20, rx: 11
ExperimentServent(0x94c206): result: 1, tx: 14, rx: 17
ExperimentServent(0x94f7b4): result: 1, tx: 23, rx: 19
ExperimentServent(0x94f78c): result: 1, tx: 12, rx: 9
ExperimentServent(0x94f758): result: 1, tx: 15, rx: 15
ExperimentServent(0x94f768): result: 1, tx: 11, rx: 12
ExperimentServent(0x94f782): result: 1, tx: 9, rx: 32
ExperimentServent(0x94f7aa): result: 1, tx: 5, rx: 7
=====================
ExperimentServent(0x946f58): result: 1, tx: 18, rx: 15
ExperimentServent(0x946f20): result: 1, tx: 24, rx: 15
ExperimentServent(0x94a460): result: 1, tx: 35, rx: 46
ExperimentServent(0x94a478): result: 1, tx: 33, rx: 28
ExperimentServent(0x94a48c): result: 1, tx: 9, rx: 15
ExperimentServent(0x94a2f4): result: 1, tx: 13, rx: 14
ExperimentServent(0x94a4b4): result: 1, tx: 17, rx: 21
ExperimentServent(0x946f18): result: 1, tx: 12, rx: 10
ExperimentServent(0x94a458): result: 1, tx: 9, rx: 7
ExperimentServent(0x946fe8): result: 1, tx: 11, rx: 9
ExperimentServent(0x94a470): result: 1, tx: 7, rx: 7
ExperimentServent(0x94a496): result: 1, tx: 29, rx: 23
ExperimentServent(0x946f1e): result: 1, tx: 13, rx: 13
ExperimentServent(0x94a468): result: 1, tx: 11, rx: 9
ExperimentServent(0x94a482): result: 1, tx: 9, rx: 19
ExperimentServent(0x94a4be): result: 1, tx: 24, rx: 18
ExperimentServent(0x94a4a0): result: 1, tx: 7, rx: 8
ExperimentServent(0x94a4aa): result: 1, tx: 17, rx: 16
ExperimentServent(0x946f06): result: 1, tx: 2, rx: 6
ExperimentServent(0x946f38): result: 1, tx: 2, rx: 3
=====================
ExperimentServent(0x98ad58): result: 1, tx: 24, rx: 19
ExperimentServent(0x98ad1e): result: 1, tx: 10, rx: 16
ExperimentServent(0x98e2a0): result: 1, tx: 20, rx: 20
ExperimentServent(0x98e260): result: 1, tx: 38, rx: 43
ExperimentServent(0x98ad18): result: 1, tx: 19, rx: 15
ExperimentServent(0x98ad06): result: 1, tx: 18, rx: 16
ExperimentServent(0x98ad20): result: 1, tx: 44, rx: 46
ExperimentServent(0x98e2be): result: 1, tx: 44, rx: 32
ExperimentServent(0x98e0f4): result: 1, tx: 13, rx: 34
ExperimentServent(0x98e28c): result: 1, tx: 15, rx: 9
ExperimentServent(0x98ade8): result: 1, tx: 30, rx: 29
ExperimentServent(0x98e2b4): result: 1, tx: 5, rx: 19
ExperimentServent(0x98e296): result: 1, tx: 12, rx: 14
ExperimentServent(0x98ad38): result: 1, tx: 12, rx: 12
ExperimentServent(0x98e282): result: 1, tx: 11, rx: 22
ExperimentServent(0x98e2aa): result: 1, tx: 16, rx: 15
ExperimentServent(0x98e278): result: 1, tx: 10, rx: 6
ExperimentServent(0x98e268): result: 1, tx: 22, rx: 17
ExperimentServent(0x98e258): result: 1, tx: 34, rx: 32
ExperimentServent(0x98e270): result: 1, tx: 73, rx: 54
=====================
ExperimentServent(0x911d58): result: 1, tx: 21, rx: 24
ExperimentServent(0x9150f4): result: 1, tx: 14, rx: 17
ExperimentServent(0x911d06): result: 1, tx: 33, rx: 26
ExperimentServent(0x911d18): result: 1, tx: 13, rx: 14
ExperimentServent(0x911d20): result: 1, tx: 13, rx: 9
ExperimentServent(0x911d1e): result: 1, tx: 16, rx: 11
ExperimentServent(0x915268): result: 1, tx: 20, rx: 17
ExperimentServent(0x915296): result: 1, tx: 14, rx: 17
ExperimentServent(0x911d38): result: 1, tx: 10, rx: 8
ExperimentServent(0x915258): result: 1, tx: 4, rx: 10
ExperimentServent(0x911de8): result: 1, tx: 13, rx: 10
ExperimentServent(0x915260): result: 1, tx: 14, rx: 11
ExperimentServent(0x915282): result: 1, tx: 26, rx: 21
ExperimentServent(0x915278): result: 1, tx: 20, rx: 15
ExperimentServent(0x9152b4): result: 1, tx: 3, rx: 13
ExperimentServent(0x9152aa): result: 1, tx: 24, rx: 33
ExperimentServent(0x9152be): result: 1, tx: 6, rx: 4
ExperimentServent(0x91528c): result: 1, tx: 5, rx: 11
ExperimentServent(0x915270): result: 1, tx: 6, rx: 4
ExperimentServent(0x9152a0): result: 1, tx: 5, rx: 5
=====================
ExperimentServent(0x847ff4): result: 1, tx: 38, rx: 28
ExperimentServent(0x844c06): result: 1, tx: 14, rx: 18
ExperimentServent(0x8481aa): result: 1, tx: 38, rx: 39
ExperimentServent(0x844ce8): result: 1, tx: 32, rx: 24
ExperimentServent(0x844c18): result: 1, tx: 23, rx: 19
ExperimentServent(0x8481a0): result: 1, tx: 4, rx: 21
ExperimentServent(0x848158): result: 1, tx: 22, rx: 19
ExperimentServent(0x844c20): result: 1, tx: 12, rx: 10
ExperimentServent(0x84818c): result: 1, tx: 14, rx: 12
ExperimentServent(0x848196): result: 1, tx: 21, rx: 49
ExperimentServent(0x844c1e): result: 1, tx: 20, rx: 12
ExperimentServent(0x848168): result: 1, tx: 13, rx: 12
ExperimentServent(0x844c58): result: 1, tx: 10, rx: 8
ExperimentServent(0x848170): result: 1, tx: 31, rx: 20
ExperimentServent(0x8481b4): result: 1, tx: 46, rx: 42
ExperimentServent(0x8481be): result: 1, tx: 15, rx: 14
ExperimentServent(0x844c38): result: 1, tx: 8, rx: 5
ExperimentServent(0x848160): result: 1, tx: 16, rx: 29
ExperimentServent(0x848178): result: 1, tx: 7, rx: 5
ExperimentServent(0x848182): result: 1, tx: 12, rx: 10
