====================
Prob: 0.6
nodes: 40
Node have file: 15
=====================1
ExperimentServent(0x94e59c): result: 1, tx: 46, rx: 31
ExperimentServent(0x94e5e2): result: 1, tx: 29, rx: 29
ExperimentServent(0x94e574): result: 1, tx: 71, rx: 40
ExperimentServent(0x94e5ba): result: 1, tx: 5, rx: 38
ExperimentServent(0x94e588): result: 1, tx: 47, rx: 28
ExperimentServent(0x94e5b0): result: 1, tx: 3, rx: 22
ExperimentServent(0x94e54c): result: 1, tx: 89, rx: 41
ExperimentServent(0x94e5c4): result: 1, tx: 64, rx: 38
ExperimentServent(0x94e556): result: 1, tx: 49, rx: 21
ExperimentServent(0x94e592): result: 1, tx: 5, rx: 31
ExperimentServent(0x94e560): result: 1, tx: 50, rx: 23
ExperimentServent(0x94e57e): result: 1, tx: 3, rx: 21
ExperimentServent(0x94ea46): result: 1, tx: 4, rx: 29
ExperimentServent(0x94e5ce): result: 1, tx: 85, rx: 43
ExperimentServent(0x94ea3e): result: 1, tx: 3, rx: 27
ExperimentServent(0x94ea2e): result: 1, tx: 55, rx: 68
ExperimentServent(0x94ea16): result: 1, tx: 5, rx: 35
ExperimentServent(0x94ea02): result: 1, tx: 3, rx: 25
ExperimentServent(0x94e5ec): result: 1, tx: 67, rx: 94
ExperimentServent(0x94ea1e): result: 1, tx: 71, rx: 32
ExperimentServent(0x94e5f6): result: 1, tx: 4, rx: 31
ExperimentServent(0x94ea0c): result: 1, tx: 80, rx: 33
ExperimentServent(0x94ea38): result: 1, tx: 62, rx: 33
ExperimentServent(0x94ea26): result: 1, tx: 80, rx: 68
=================================================================8
ExperimentServent(0x9a1072): result: 1, tx: 3, rx: 27
ExperimentServent(0x9a2062): result: 1, tx: 90, rx: 145
ExperimentServent(0x9a2094): result: 1, tx: 67, rx: 34
ExperimentServent(0x9a20e4): result: 1, tx: 4, rx: 37
ExperimentServent(0x9a2058): result: 1, tx: 4, rx: 25
ExperimentServent(0x9a209e): result: 1, tx: 4, rx: 36
ExperimentServent(0x9a2076): result: 1, tx: 4, rx: 36
ExperimentServent(0x9a208a): result: 1, tx: 49, rx: 31
ExperimentServent(0x9a206c): result: 1, tx: 87, rx: 62
ExperimentServent(0x9a20c6): result: 1, tx: 107, rx: 39
ExperimentServent(0x9a20bc): result: 1, tx: 69, rx: 84
ExperimentServent(0x9a20da): result: 1, tx: 44, rx: 29
ExperimentServent(0x9a202c): result: 1, tx: 58, rx: 41
ExperimentServent(0x9a2044): result: 1, tx: 50, rx: 26
ExperimentServent(0x9a20ee): result: 1, tx: 58, rx: 31
