====================
density: 0.4
nodes: 30
Node have file: 1
=====================
ExperimentServent(0xb7463b0c): result: 1, tx: 63, rx: 161
ExperimentServent(0xb74d4fcc): result: 1, tx: 397, rx: 237
ExperimentServent(0xb7463ecc): result: 1, tx: 183, rx: 203
ExperimentServent(0xb7463f8c): result: 1, tx: 79, rx: 175
ExperimentServent(0xb7463e2c): result: 1, tx: 64, rx: 171
ExperimentServent(0xb746906c): result: 1, tx: 320, rx: 192
ExperimentServent(0xb746374c): result: 1, tx: 28, rx: 245
ExperimentServent(0xb7463a6c): result: 1, tx: 88, rx: 120
ExperimentServent(0xb746388c): result: 1, tx: 49, rx: 175
ExperimentServent(0xb74634ac): result: 1, tx: 295, rx: 206
ExperimentServent(0xb746912c): result: 1, tx: 395, rx: 305
ExperimentServent(0xb74d62ac): result: 1, tx: 88, rx: 165
ExperimentServent(0xb74d648c): result: 1, tx: 241, rx: 194
ExperimentServent(0xb746392c): result: 1, tx: 212, rx: 131
ExperimentServent(0xb74636ac): result: 1, tx: 238, rx: 239
ExperimentServent(0xb74d610c): result: 1, tx: 266, rx: 182
ExperimentServent(0xb74635ac): result: 1, tx: 83, rx: 114
ExperimentServent(0xb74639cc): result: 1, tx: 270, rx: 241
ExperimentServent(0xb7463d8c): result: 1, tx: 173, rx: 220
ExperimentServent(0xb74691ec): result: 1, tx: 276, rx: 237
ExperimentServent(0xb7463bac): result: 1, tx: 364, rx: 228
ExperimentServent(0xb74d606c): result: 1, tx: 116, rx: 123
ExperimentServent(0xb74d6dac): result: 1, tx: 413, rx: 290
=====================
ExperimentServent(0xb73e2fcc): result: 1, tx: 175, rx: 154
ExperimentServent(0xb73e410c): result: 1, tx: 215, rx: 157
ExperimentServent(0xb73715ac): result: 1, tx: 66, rx: 163
ExperimentServent(0xb73e2fac): result: 1, tx: 257, rx: 197
ExperimentServent(0xb737162c): result: 1, tx: 106, rx: 147
ExperimentServent(0xb736ee6c): result: 1, tx: 97, rx: 192
ExperimentServent(0xb7371c4c): result: 1, tx: 100, rx: 129
ExperimentServent(0xb73716ac): result: 1, tx: 252, rx: 206
ExperimentServent(0xb737192c): result: 1, tx: 262, rx: 196
ExperimentServent(0xb737152c): result: 1, tx: 86, rx: 149
ExperimentServent(0xb73714ac): result: 1, tx: 34, rx: 118
ExperimentServent(0xb7371f8c): result: 1, tx: 306, rx: 178
ExperimentServent(0xb7371bac): result: 1, tx: 27, rx: 165
